Name	SXXY_W_4S	AHHS_W_4S	HNSX_P_6S	SXYZ_P_7	AHSZ_W_4S	AHYX_P_5S	HBHM_W_6S	HBYX_W_21S	SXXY_W_6S	JSTS_W_48S	AHJZ_P_21S	HBHA_P_12S	HNSX_W_8S	JSJR_P_6S	SXYZ_P_15S	HBYX_W_14S	AHHS_W_3S	AHSZ_W_1S	HBLT_W_2S	HBYX_W_17S	AHSZ_W_2S	SXXY_W_1S	JSTS_W_49S	HNSX_P_7S	HBYX_P_5S	HBHA_P_2S	JSJH_P_8S	HNSX_P_3S	HNSX_W_10S	HNSX_P_20S	AHYX_P_18S	HBHM_W_9S	HBYX_P_4S	HBHA_P_3S	AHYX_P_7S	HBLT_W_1S	JSJH_P_2S	JSTS_W_44S	HBHA_P_9S	HNSX_W_18S	HBLT_W_5S	AHSZ_W_3S	JSJR_P_14S	AHHS_W_2S	AHJZ_P_13S	HBLT_W_4S	SXYZ_P_13S	JSJH_P_5S	HBHM_W_1S	JSJR_P_3S	SXYZ_P_7S	HBLT_W_3S	SXXY_W_3S	AHSZ_W_5S	JSTS_W_47S	HNSX_W_20S	HBHA_P_4S	SXXY_W_2S	JSJH_P_3S	AHHS_W_1S	HBYX_P_2S	HNSX_W_15S	HNSX_P_16S	AHYX_P_9S	JSJR_P_5S	AHJZ_P_17S	HBYX_P_1S	JSTS_W_45S	HBYX_P_3S	HBHM_W_14S	JSJH_P_4S
g__Providencia	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Haemophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Sodalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Pseudoalteromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Shewanella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Succinivibrionaceae_UCG-001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Photobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Vibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Rahnella	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Serratia	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	10	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1599	24	0	0	0	0	0	0	0
g__unclassified_f__Yersiniaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0
g__unclassified_o__Enterobacterales	7	3	25	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	17	0	0	0	0	0	0	0	17	9	291	0	0	0	21	5	7	0	0
